,Datetime (he),Site Load (kW),DA Price ($/kWh),soc_hs,kWh,charge_mpc,discharge_to_load_mpc,discharge_to_grid_mpc,export_yes_mpc,net_load
0,1/1/19 1:00,401.9608554,0.018990535,0.5,4000,0,0,0,0,401.9608554
1,1/1/19 2:00,373.8652086,0.018766137,0.5,4000,0,-8.39E-13,0,0,373.8652086
2,1/1/19 3:00,405.4570141,0.01852799,0.5,4000,-2000,0,0,0,2405.457014
3,1/1/19 4:00,370.3137769,0.018365254,0.730488611,5843.908891,-2000,0,0,0,2370.313777
4,1/1/19 5:00,414.1420555,0.018535374,0.960977223,7687.817783,-338.6091564,0,0,0,752.7512119
5,1/1/19 6:00,405.0901661,0.018700615,1,8000,0,0,0,0,405.0901661
6,1/1/19 7:00,485.0896901,0.019305736,1,8000,0,0,0,0,485.0896901
7,1/1/19 8:00,442.9817908,0.020364944,1,8000,0,0,0,0,442.9817908
8,1/1/19 9:00,457.2633046,0.021135015,1,8000,0,8.39E-13,0,0,457.2633046
9,1/1/19 10:00,390.0506753,0.021477902,1,8000,0,0,0,0,390.0506753
10,1/1/19 11:00,378.7672133,0.022538783,1,8000,0,0,0,0,378.7672133
11,1/1/19 12:00,350.6213565,0.022233284,1,8000,0,0,0,0,350.6213565
12,1/1/19 13:00,393.4668053,0.022266994,1,8000,0,0,0,0,393.4668053
13,1/1/19 14:00,364.7279507,0.021951721,1,8000,0,0,0,0,364.7279507
14,1/1/19 15:00,406.0574644,0.021774561,1,8000,0,0,0,0,406.0574644
15,1/1/19 16:00,367.2233699,0.022250908,1,8000,0,0,0,0,367.2233699
16,1/1/19 17:00,471.0773492,0.02401673,1,8000,0,0,0,0,471.0773492
17,1/1/19 18:00,488.8333553,0.028308123,1,8000,0,488.8333553,0,0,5.12E-13
18,1/1/19 19:00,518.0458057,0.028013223,0.933723223,7469.785782,0,518.0458057,0,0,-1.14E-13
19,1/1/19 20:00,458.4224275,0.027808868,0.863485777,6907.886213,0,458.4224275,0,0,2.27E-13
20,1/1/19 21:00,489.0245882,0.027202469,0.80133216,6410.657278,0,489.0245882,0,0,-5.68E-14
21,1/1/19 22:00,429.7806113,0.025708322,0.735029455,5880.235639,0,0,0,0,429.7806113
22,1/1/19 23:00,435.6664512,0.02377107,0.735029455,5880.235639,0,0,0,0,435.6664512
23,1/2/19 0:00,378.1996185,0.022429254,0.735029455,5880.235639,0,0,0,0,378.1996185
24,1/2/19 1:00,446.0599365,0.022613627,0.735029455,5880.235639,0,0,0,0,446.0599365
25,1/2/19 2:00,414.0337189,0.022365111,0.735029455,5880.235639,-299.2072667,0,0,0,713.2409856
26,1/2/19 3:00,444.1120561,0.022399446,0.769511389,6156.091109,0,0,0,0,444.1120561
27,1/2/19 4:00,412.4243146,0.022187463,0.769511389,6156.091109,-2000,0,0,0,2412.424315
28,1/2/19 5:00,454.213495,0.022491352,1,8000,0,0,0,0,454.213495
