runID,location,customer_type,demand_charge,export_price,export_price_type,battery_size_kWh,battery_power_kW,min_soc,max_soc,one_way_efficiency,start_soc,n_horizon,n_control,old_energy_charge,new_energy_charge,energy_charge_savings,old_demand_charge,new_demand_charge,demand_charge_savings,retail_profits,battery_charge_cost,battery_discharge_revenues,battery_retail_profits,battery_export_revenue,total_profits
1,CA_San.Francisco.Intl,Restaurant,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-477993.33366338257,-477945.0976831901,48.23598019243219,-84117.10232165184,-62539.412246818,21577.69007483384,21625.92605502627,-60663.017697012074,60711.25367720451,48.235980192446725,0.0,21625.92605502627
2,CA_San.Francisco.Intl,Hospital,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-259464.33519488052,-265076.6446560169,-5612.309461136465,-42424.88010224397,-36783.63521743516,5641.244884808817,28.93542367235205,-25126.42919129395,19514.119730157483,-5612.309461136469,5964.948449278075,5993.883872950427
3,CA_San.Francisco.Intl,Hotel,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-378703.426779241,-376464.6805579313,2238.7462213097024,-69542.5244854225,-47743.90920292409,21798.615282498416,24037.36150380812,-45733.199369481794,47971.945590791416,2238.7462213096223,0.0,24037.36150380812
4,CA_San.Francisco.Intl,Office,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-513932.8353648402,-519930.9720063547,-5998.136641514546,-134927.67605275198,-104852.93872009096,30074.73733266105,24076.60069114651,-77413.98935250322,71415.85271098875,-5998.136641514473,8205.915904041945,32282.516595188456
5,CA_San.Francisco.Intl,Office,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-415457.48448468116,-428543.7038878989,-13086.21940321772,-113096.05775819233,-77828.07512359633,35267.982634596,22181.76323137828,-77157.26255990441,64071.04315668666,-13086.219403217738,14601.316407762504,36783.07963914079
6,CA_San.Francisco.Intl,Apartment,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-357026.3147463785,-346805.6110821249,10220.70366425364,-78272.43366770742,-49148.73708699615,29123.69658071128,39344.40024496491,-63013.958282866,73234.66194711965,10220.703664253648,-1.0757653806566818e-14,39344.40024496491
7,CA_San.Francisco.Intl,School,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-355804.5529376251,-368847.400951804,-13042.84801417892,-100170.59704253028,-67945.12402581633,32225.47301671395,19182.62500253503,-73021.67011015222,59978.82209597327,-13042.848014178948,14495.906760639004,33678.53176317403
8,CA_San.Francisco.Intl,Restaurant,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-455182.8029351335,-456975.81798336323,-1793.015048229776,-78085.74935778361,-58729.4957843261,19356.25357345752,17563.238525227738,-56950.892912722324,55157.87786449246,-1793.0150482298707,0.0,17563.238525227738
9,CA_San.Francisco.Intl,School,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-543971.0022639859,-547314.4503718268,-3343.448107840842,-193474.47421783415,-153515.33164059735,39959.14257723681,36615.69446939597,-74677.28869552247,71333.84058768152,-3343.4481078409444,12785.866493507236,49401.560962903204
10,CA_San.Francisco.Intl,Hotel,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-394536.50395786023,-389153.7603919394,5382.743565920857,-77805.11042679891,-52336.99022926744,25468.12019753148,30850.863763452333,-59332.99338191957,64715.73694784043,5382.74356592085,7.996050636894949,30858.859814089228
11,CA_San.Francisco.Intl,Office,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-307295.30689255014,-323843.31508097466,-16548.008188424632,-77475.75655571025,-54217.498195141896,23258.258360568354,6710.250172143722,-66116.58478505582,49568.576596631174,-16548.00818842465,16272.361777195982,22982.611949339702
12,CA_San.Francisco.Intl,Market,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-391004.5731570871,-392371.9278827773,-1367.354725690151,-75324.44414629406,-56250.52372910619,19073.920417187863,17706.565691497715,-65298.14292904258,63930.78820335249,-1367.3547256900854,183.10539749335732,17889.671088991072
13,CA_San.Jose.Intl,Restaurant,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-487612.39350242616,-487765.09120061365,-152.69769818743225,-88461.66479120363,-65021.240883554005,23440.42390764963,23287.726209462202,-62480.290522557385,62327.59282436997,-152.69769818741042,0.0,23287.726209462202
14,CA_San.Jose.Intl,Hospital,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-259793.3502825291,-265513.0502468974,-5719.699964368308,-42863.6269914208,-36880.58375886648,5983.043232554315,263.34326818600675,-25455.89102061941,19736.19105625113,-5719.69996436829,6111.9862674406495,6375.329535626654
15,CA_San.Jose.Intl,Hotel,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-367980.8108867139,-365801.84193359007,2178.9689531238396,-67851.90803334497,-46580.03217924501,21271.87585409997,23450.84480722381,-44871.67632462824,47050.64527775211,2178.968953123884,104.39357047454384,23555.238377698355
16,CA_San.Jose.Intl,Office,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-535766.0509902536,-541822.6391279303,-6056.5881376767065,-134964.2567731175,-105961.33628111136,29002.920492006142,22946.33235432944,-77467.67282201431,71411.08468433766,-6056.588137676648,6581.654092548358,29527.9864468778
17,CA_San.Jose.Intl,Office,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-428320.938402129,-439347.22288549435,-11026.284483365363,-123696.369632672,-84984.59516366664,38711.77446900535,27685.489985639986,-77883.84491386739,66857.56043050201,-11026.284483365382,13617.009101106029,41302.499086746015
18,CA_San.Jose.Intl,Apartment,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-370288.9832994153,-360520.4809339354,9768.502365479944,-80398.16999848478,-51352.67348577119,29045.496512713587,38813.99887819353,-62559.819635736174,72328.32200121606,9768.502365479893,-2.239666142676711e-15,38813.99887819353
19,CA_San.Jose.Intl,School,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-369431.0541992257,-381843.4731387831,-12412.41893955745,-108944.81657225873,-72783.56693640523,36161.2496358535,23748.83069629605,-73982.3524080696,61569.93346851219,-12412.418939557392,13860.480425837273,37609.31112213333
20,CA_San.Jose.Intl,Restaurant,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-460821.0364250408,-462471.3206045703,-1650.2841795294662,-80881.97429028056,-60599.92571092981,20282.048579350747,18631.76439982128,-58178.3299977887,56528.04581825928,-1650.2841795294296,0.0,18631.76439982128
21,CA_San.Jose.Intl,School,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-614000.9740484045,-616181.0113035868,-2180.0372551822798,-205602.42309521785,-164575.47582103868,41026.94727417908,38846.9100189968,-75700.86348091571,73520.82622573349,-2180.0372551822074,8809.736009939035,47656.64602893584
22,CA_San.Jose.Intl,Hotel,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-398540.7931340938,-393301.0343363672,5239.75879772671,-79118.52167640338,-53220.691166116485,25897.830510286884,31137.589308013594,-57978.63222736503,63218.391025091754,5239.758797726732,47.91583714661915,31185.505145160216
23,CA_San.Jose.Intl,Office,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-315174.0731819031,-331762.4398992039,-16588.366717300727,-81200.2425156161,-55759.699226831064,25440.543288785047,8852.17657148432,-68275.69970024895,51687.33298294823,-16588.366717300716,16010.780485585716,24862.957057070038
24,CA_San.Jose.Intl,Market,10,0.10531,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-394877.9164566167,-395931.99026819866,-1054.0738115819404,-76406.27181251263,-57067.65476506182,19338.6170474508,18284.543235868856,-66348.63482281836,65294.561011236474,-1054.0738115818897,145.91978037905233,18430.463016247908
25,CA_Sacramento.Metro,Restaurant,10,0.10530999999999999,retail ToU,2000,500.0,0.05,1.0,0.92,0.5,24,12,-516496.5846862496,-514558.131853835,1938.452832414536,-100324.68442400172,-73191.26755344639,27133.41687055533,29071.869702969867,-68519.65662030867,70458.10945272315,1938.4528324144628,0.0,29071.869702969867
