runID,location,customer_type,demand_charge,export_price,export_price_type,battery_size_kWh,battery_power_kW,min_soc,max_soc,one_way_efficiency,start_soc,n_horizon,n_control,old_energy_charge,new_energy_charge,energy_charge_savings,old_demand_charge,new_demand_charge,demand_charge_savings,retail_profits,battery_charge_cost,battery_discharge_revenues,battery_retail_profits,battery_export_revenue,total_profits,irr,npv,$/kW,$/kWh
1,CA_San.Francisco.Intl,Office,10,0,None,2000,500,0.05,1,0.92,0.5,24,12,-513932.8354,-512250.0157,1682.819655,-134927.6761,-104852.9387,30074.73733,31757.55699,-74365.31717,76048.13682,1682.819655,0,31757.55699,-0.07254,-378338.907,,
2,CA_San.Francisco.Intl,Office,10,0.10531,Retail,2000,500,0.05,1,0.92,0.5,24,12,-513932.8354,-519930.972,-5998.136642,-134927.6761,-104852.9387,30074.73733,24076.60069,-77413.98935,71415.85271,-5998.136642,8205.915904,32282.5166,-0.07053,-374146.783,,
3,CA_San.Francisco.Intl,Office,10,0.032141,LMPs,2000,500,0.05,1,0.92,0.5,24,12,-513932.8354,-512311.7587,1621.076663,-134927.6761,-104852.9387,30074.73733,31695.814,-74365.31717,75986.39383,1621.076663,103.2833321,31799.09733,-0.07238,-378007.182,,
4,CA_San.Francisco.Intl,Office,10,0.0482115,150% LMPs,2000,500,0.05,1,0.92,0.5,24,12,-513932.8354,-512640.4441,1292.391247,-134927.6761,-104852.9387,30074.73733,31367.12858,-74562.2094,75854.60064,1292.391247,518.8427765,31885.97136,-0.07204,-377313.44,,
5,CA_San.Francisco.Intl,Office,10,0.064282,200% LMPs,2000,500,0.05,1,0.92,0.5,24,12,-513932.8354,-514079.1087,-146.2732859,-134927.6761,-104852.9387,30074.73733,29928.46405,-75291.03526,75144.76197,-146.2732859,2300.557508,32229.02155,-0.07073,-374573.974,,
6,CA_San.Francisco.Intl,Office,10,0,None,1000,250,0.05,1,0.92,0.5,24,12,-513932.8354,-511351.5135,2581.321911,-134927.6761,-115495.7911,19431.88493,22013.20684,-38419.28608,41000.60799,2581.321911,0,22013.20684,-0.03056,-140184.903,,
7,CA_San.Francisco.Intl,Office,10,0.10531,Retail,1000,250,0.05,1,0.92,0.5,24,12,-513932.8354,-511345.4089,2587.426435,-134927.6761,-115495.7911,19431.88493,22019.31137,-38413.18156,41000.60799,2587.426435,-1.17E-13,22019.31137,-0.03052,-140137.364,,
8,CA_San.Francisco.Intl,Office,10,0.032141,LMPs,1000,250,0.05,1,0.92,0.5,24,12,-513932.8354,-511354.404,2578.431324,-134927.6761,-115495.7911,19431.88493,22010.31626,-38419.28608,40997.7174,2578.431324,4.296302159,22014.61256,-0.03055,-140173.956,,
9,CA_San.Francisco.Intl,Office,10,0.0482115,150% LMPs,1000,250,0.05,1,0.92,0.5,24,12,-513932.8354,-511357.9042,2574.931213,-134927.6761,-115495.7911,19431.88493,22006.81615,-38419.28608,40994.21729,2574.931213,10.06358114,22016.87973,-0.03053,-140156.3,,
10,CA_San.Francisco.Intl,Office,10,0.064282,200% LMPs,1000,250,0.05,1,0.92,0.5,24,12,-513932.8354,-511386.4472,2546.388124,-134927.6761,-115495.7911,19431.88493,21978.27306,-38413.18156,40959.56968,2546.388124,53.79488226,22032.06794,-0.03044,-140038.022,,
11,CA_San.Francisco.Intl,Office,10,0,None,400,100,0.05,1,0.92,0.5,24,12,-513932.8354,-511983.7173,1949.118044,-134927.6761,-123695.9608,11231.71523,13180.83327,-15141.15639,17090.27443,1949.118044,0,13180.83327,0.02247,-25698.146,,
