runID,location,customer_type,demand_charge,export_price,export_price_type,battery_size_kWh,battery_power_kW,min_soc,max_soc,one_way_efficiency,start_soc,n_horizon,n_control,old_energy_charge,new_energy_charge,energy_charge_savings,old_demand_charge,new_demand_charge,demand_charge_savings,retail_profits,battery_charge_cost,battery_discharge_revenues,battery_retail_profits,battery_export_revenue,total_profits,irr,npv
1,CA_Alturas.725958_TMY3,Restaurant,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-480992.9889660077,-480548.32361070474,444.6653553029173,-174309.8711527881,-144368.8058935192,29941.065259268915,30385.730614571832,-28464.14670510291,28908.812060405762,444.6653553028591,0.0,30385.730614571774,0.08573,28596.955
2,CA_Alturas.725958_TMY3,Hospital,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-262538.4661375344,-262697.34806928603,-158.88193175167544,-91205.52536615373,-77046.35806341571,14159.167302738033,14000.285370986356,-21946.972843539093,21788.0909117874,-158.88193175169727,0.0,14000.285370986334,-0.02275,-78023.92
3,CA_Alturas.725958_TMY3,Hotel,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-352325.4263100411,-349593.6375769836,2731.788733057503,-132208.36910976894,-95406.03073171938,36802.33837804957,39534.12711110707,-29629.95486490125,32361.743597958724,2731.788733057485,0.0,39534.12711110705,0.13422,86310.839
4,CA_Alturas.725958_TMY3,Office,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-457038.0489188722,-455150.3641865325,1887.6847323396946,-237038.4502731307,-208005.09659565557,29033.353677475097,30921.038409814784,-22473.93225398503,24361.616986324683,1887.6847323396505,0.0,30921.038409814748,0.08868,31974.016
5,CA_Alturas.725958_TMY3,Office,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-406879.2444196547,-403340.44262883713,3538.8017908175825,-272801.6227643262,-217480.909149742,55320.713614584296,58859.51540540188,-23867.148097294892,27405.949888112402,3538.801790817506,0.0,58859.515405401806,0.22833,208227.637
6,CA_Alturas.725958_TMY3,Apartment,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-332729.4193569619,-327394.4145001974,5335.004856764514,-146313.31860747535,-112659.44517587042,33653.87343160492,38988.87828836944,-21472.556542207472,26807.561398971982,5335.004856764506,0.0,38988.87828836944,0.13142,82871.064
7,CA_Alturas.725958_TMY3,School,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-341287.26042432303,-339918.81247799925,1368.4479463237806,-193863.57545642625,-164930.02056173392,28933.554894692323,30302.002841016103,-22989.55983693543,24358.007783259225,1368.4479463237953,0.0,30302.002841016118,0.08527,28068.74700000001
8,CA_Alturas.725958_TMY3,Restaurant,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-448520.403047115,-449092.93423547375,-572.5311883587274,-156893.51659590064,-130915.84388403162,25977.672711869014,25405.141523510294,-30585.73868873397,30013.207500375287,-572.5311883586801,0.0,25405.141523510338,0.05738,-2823.758
9,CA_Alturas.725958_TMY3,School,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-494757.3454081735,-491878.07559986657,2879.2698083068244,-311805.38410918467,-278023.95600612817,33781.42810305656,36660.697911363386,-22062.69171988263,24941.96152818946,2879.269808306828,0.0,36660.697911363386,0.11938,68183.42599999999
10,CA_Alturas.725958_TMY3,Hotel,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-365881.95677404007,-361996.95104411326,3885.0057299268665,-148229.50923213694,-109573.98759040024,38655.52164173669,42540.52737166357,-27009.92108229412,30894.926812220947,3885.005729926829,0.0,42540.52737166352,0.14944000000000002,105277.117
11,CA_Alturas.725958_TMY3,Office,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-305130.90300840983,-304602.20545768685,528.6975507229799,-154800.59122654225,-129928.08537249186,24872.50585405041,25401.203404773387,-23144.789714158887,23673.487264881904,528.6975507230163,0.0,25401.203404773427,0.05735,-2848.602000000001
12,CA_Alturas.725958_TMY3,Market,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-412447.44495062967,-412114.09926314774,333.345687481924,-166173.13566432445,-142896.28992700193,23276.845737322525,23610.19142480445,-23680.859320833682,24014.205008315534,333.3456874818476,0.0,23610.19142480437,0.04668,-14147.441
13,CA_Arcata,Restaurant,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-449261.44243122736,-450639.8754999444,-1378.433068717015,-148848.43009221475,-122479.76611824488,26368.663973969902,24990.230905252887,-29882.557678753263,28504.12461003628,-1378.4330687169895,0.0,24990.23090525292,0.05492999999999999,-5441.276999999999
14,CA_Arcata,Hospital,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-251968.0816116774,-252219.9576644237,-251.87605274631642,-82586.26873920183,-71908.21156634636,10678.057172855464,10426.181120109148,-20449.621269360432,20197.745216614123,-251.8760527463055,0.0,10426.181120109159,-0.061370000000000015,-106323.293
15,CA_Arcata,Hotel,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-353338.44753964397,-350753.5883793874,2584.8591602566307,-130659.56180011205,-94323.85546200706,36335.706338104974,38920.565498361604,-30185.6643193991,32770.52347965572,2584.8591602566194,0.0,38920.56549836158,0.13107,82440.103
16,CA_Arcata,Office,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-435361.2560501222,-432510.2485806239,2851.0074694983196,-240938.4595781375,-214240.39611918296,26698.063458954537,29549.070928452857,-22606.07631539948,25457.083784897797,2851.007469498316,0.0,29549.070928452853,0.08108,23318.775
17,CA_Arcata,Office,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-372261.7790527721,-369651.7315727918,2610.047479980276,-215986.1778692041,-174635.23700614346,41350.940863060685,43960.98834304095,-24255.183305572114,26865.23078555244,2610.04747998032,0.0,43960.988343041005,0.15653,114238.285
18,CA_Arcata,Apartment,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-315993.1030492557,-310649.10766503174,5343.995384223992,-133063.25119060426,-98593.56764930076,34469.683541303464,39813.67892552746,-21485.66233694966,26829.657721173637,5343.995384223977,0.0,39813.67892552745,0.13564,88074.429
