runID,location,customer_type,demand_charge,export_price,export_price_type,battery_size_kWh,battery_power_kW,min_soc,max_soc,one_way_efficiency,start_soc,n_horizon,n_control,old_energy_charge,new_energy_charge,energy_charge_savings,old_demand_charge,new_demand_charge,demand_charge_savings,retail_profits,battery_charge_cost,battery_discharge_revenues,battery_retail_profits,battery_export_revenue,total_profits
1,CAISO,System,10,0.0,None,4000,1000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-747312.2505,-81.19070319,-191423.6339,-138826.4998,52597.13409,52515.94339,-138677.8778,138596.6871,-81.19070319,0.0,52515.94339
2,CAISO,System,10,0.12,Low flat,4000,1000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-747890.8516,-659.7918344,-191423.6339,-138826.4998,52597.13409,51937.34225,-138888.7624,138228.9706,-659.7918344,694.9532882999997,52632.29554
3,CAISO,System,10,0.15,Med flat,4000,1000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-840444.5808,-93213.52106,-191423.6339,-138749.1415,52674.49234,-40539.02872,-228185.3784,134971.8573,-93213.52106,105121.183,64582.15433
4,CAISO,System,10,0.18,High flat,4000,1000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-866554.6337,-119323.574,-191423.6339,-138749.1415,52674.49234,-66649.08163,-240459.521,121135.9471,-119323.574,154900.1692,88251.08757
5,CAISO,System,10,0.10531,Retail,4000,1000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-769381.7008,-22150.64107,-191423.6339,-138826.4998,52597.13409,30446.49302,-152394.91,130244.2689,-22150.64107,24384.68092,54831.17394
6,CAISO,System,10,0.084248,80% retail,4000,1000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-747902.7071,-671.6473157,-191423.6339,-138826.4998,52597.13409,51925.48677,-138777.0475,138105.4001,-671.6473157,629.7203396000001,52555.20711
7,CAISO,System,10,0.126372,120% retail,4000,1000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-785303.8075,-38072.74776000001,-191423.6339,-138749.1415,52674.49234,14601.74458,-155291.3183,117218.5705,-38072.74776000001,47822.6516,62424.39618
8,CAISO,System,10,0.032141,LMPs,4000,1000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-747485.2524,-254.19259790000004,-191423.6339,-138826.4998,52597.13409,52342.94149,-138671.2761,138417.0835,-254.19259790000004,352.8546853,52695.79618000001
9,CAISO,System,10,0.0160705,50% LMPs,4000,1000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-747410.6015,-179.5417889,-191423.6339,-138826.4998,52597.13409,52417.5923,-138572.7227,138393.1809,-179.5417889,94.53492491,52512.12723
10,CAISO,System,10,0.0482115,150% LMPs,4000,1000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-748666.2719,-1435.212093,-191423.6339,-138826.4998,52597.13409,51161.922,-139418.1396,137982.9275,-1435.212093,1884.9224420000005,53046.84444
11,CAISO,System,5,0.0,None,4000,1000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-747312.2499,-81.19014509,-95711.81695,-69413.2499,26298.56704,26217.3769,-138558.9105,138477.7204,-81.19014509,0.0,26217.3769
12,CAISO,System,5,0.12,Low flat,4000,1000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-747888.3684,-657.3086036000002,-95711.81695,-69413.2499,26298.56704,25641.25844,-138930.4101,138273.1015,-657.3086036000002,694.9532882999997,26336.21173000001
13,CAISO,System,5,0.15,Med flat,4000,1000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-840254.1686,-93023.10882,-95711.81695,-69374.57077,26337.24617,-66685.86265,-227950.0245,134926.9157,-93023.10882,104931.1448,38245.28216
14,CAISO,System,5,0.18,High flat,4000,1000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-866868.3807,-119637.321,-95711.81695,-69374.57077,26337.24617,-93300.07479,-240624.0009,120986.6799,-119637.321,155230.8325,61930.757670000006
15,CAISO,System,5,0.10531,Retail,4000,1000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-769394.7442,-22163.68441,-95711.81695,-69413.2499,26298.56704,4134.882637,-152328.1409,130164.4565,-22163.68441,24384.68092,28519.56356
16,CAISO,System,5,0.084248,80% retail,4000,1000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-747898.2688,-667.2090726,-95711.81695,-69413.2499,26298.56704,25631.35797,-138857.3399,138190.1308,-667.2090726,629.7203396000001,26261.07831
17,CAISO,System,5,0.126372,120% retail,4000,1000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-785314.444,-38083.38427,-95711.81695,-69374.57077,26337.24617,-11746.13809,-155163.8664,117080.4821,-38083.38427,47809.05249,36062.9144
18,CAISO,System,5,0.032141,LMPs,4000,1000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-747498.593,-267.5332131,-95711.81695,-69413.2499,26298.56704,26031.03383,-138652.2134,138384.6801,-267.5332131,352.8546853,26383.88852
19,CAISO,System,5,0.0160705,50% LMPs,4000,1000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-747400.0612,-169.00139330000005,-95711.81695,-69413.2499,26298.56704,26129.56565,-138663.3786,138494.3772,-169.00139330000005,94.53492491,26224.10058
20,CAISO,System,5,0.0482115,150% LMPs,4000,1000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-748682.0229,-1450.963168,-95711.81695,-69413.2499,26298.56704,24847.60388,-139372.9951,137922.0319,-1450.963168,1884.9224420000005,26732.52632
21,CAISO,System,30,0.0,None,400,100.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744869.955,2361.104743,-574270.9017,-538459.015,35811.88672,38172.99146000001,-15715.02211,18076.12685,2361.104743,0.0,38172.99146000001
22,CAISO,System,30,0.0,None,1000,250.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744331.9837,2899.076076000001,-574270.9017,-507680.3374,66590.56427999999,69489.64035,-38328.67582,41227.7519,2899.076076000001,0.0,69489.64035
23,CAISO,System,30,0.0,None,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-743954.9637,3276.096093,-574270.9017,-475243.1882,99027.71348,102303.8096,-76557.10847,79833.20456,3276.096093,0.0,102303.8096
24,CAISO,System,30,0.0,None,4000,1000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-747305.0639,-74.00419195,-574270.9017,-416479.4994,157791.4023,157717.3981,-138633.3041,138559.2999,-74.00419195,0.0,157717.3981
25,CAISO,System,30,0.0,None,6000,1500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-748589.4557,-1358.395974,-574270.9017,-402102.9407,172167.9609,170809.565,-158619.6684,157261.2724,-1358.395974,0.0,170809.565
26,CAISO,System,30,0.0,None,8000,2000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-748573.6815,-1342.621735,-574270.9017,-395799.9469,178470.9547,177128.333,-164465.2769,163122.6551,-1342.621735,0.0,177128.333
27,CAISO,System,10,0.0,None,400,100.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744869.955,2361.104743,-191423.6339,-179486.3383,11937.29557,14298.40031,-15715.02211,18076.12685,2361.104743,0.0,14298.40031
28,CAISO,System,10,0.0,None,1000,250.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744331.9837,2899.076076000001,-191423.6339,-169226.7791,22196.85476,25095.93084,-38328.67582,41227.7519,2899.076076000001,0.0,25095.93084
29,CAISO,System,10,0.0,None,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-743954.9637,3276.096093,-191423.6339,-158414.3961,33009.23783,36285.33392,-76557.10847,79833.20456,3276.096093,0.0,36285.33392
30,CAISO,System,10,0.0,None,4000,1000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-747305.6078,-74.54801196,-191423.6339,-138826.4998,52597.13409,52522.58608,-138627.6237,138553.0757,-74.54801196,0.0,52522.58608
31,CAISO,System,10,0.0,None,6000,1500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-748759.6423,-1528.582569,-191423.6339,-133664.9083,57758.72562000001,56230.14305,-158581.8897,157053.3071,-1528.582569,0.0,56230.14305
32,CAISO,System,10,0.0,None,8000,2000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-748805.4253,-1574.365502,-191423.6339,-132214.0895,59209.54441,57635.17891,-164327.721,162753.3555,-1574.365502,0.0,57635.17891
33,CAISO,System,10,0.0,None,1000,250.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744331.9837,2899.076076000001,-191423.6339,-169226.7791,22196.85476,25095.93084,-38328.67582,41227.7519,2899.076076000001,0.0,25095.93084
34,CAISO,System,10,0.12,Low flat,1000,250.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744331.9832,2899.076557,-191423.6339,-169226.7791,22196.85476,25095.93132,-38328.68103,41227.75758,2899.076557,2.8100000000000003e-15,25095.93132
35,CAISO,System,10,0.15,Med flat,1000,250.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744331.9837,2899.076076000001,-191423.6339,-169226.7791,22196.85476,25095.93084,-38328.67582,41227.7519,2899.076076000001,-1.93e-14,25095.93084
36,CAISO,System,10,0.18,High flat,1000,250.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744331.9832,2899.076557,-191423.6339,-169226.7791,22196.85476,25095.93132,-38328.68103,41227.75758,2899.076557,8.05e-15,25095.93132
37,CAISO,System,10,0.10531,Retail,1000,250.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744331.9837,2899.076076000001,-191423.6339,-169226.7791,22196.85476,25095.93084,-38328.67582,41227.7519,2899.076076000001,0.0,25095.93084
38,CAISO,System,10,0.084248,80% retail,1000,250.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744331.9837,2899.076076000001,-191423.6339,-169226.7791,22196.85476,25095.93084,-38328.67582,41227.7519,2899.076076000001,0.0,25095.93084
39,CAISO,System,10,0.126372,120% retail,1000,250.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744331.9837,2899.076076000001,-191423.6339,-169226.7791,22196.85476,25095.93084,-38328.67582,41227.7519,2899.076076000001,1.0699999999999998e-15,25095.93084
40,CAISO,System,10,0.032141,LMPs,1000,250.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744331.9832,2899.076557,-191423.6339,-169226.7791,22196.85476,25095.93132,-38328.68103,41227.75758,2899.076557,0.0,25095.93132
41,CAISO,System,10,0.0160705,50% LMPs,1000,250.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744331.9837,2899.076076000001,-191423.6339,-169226.7791,22196.85476,25095.93084,-38328.67582,41227.7519,2899.076076000001,0.0,25095.93084
42,CAISO,System,10,0.0482115,150% LMPs,1000,250.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744331.9832,2899.076557,-191423.6339,-169226.7791,22196.85476,25095.93132,-38328.68103,41227.75758,2899.076557,0.0,25095.93132
43,CAISO,System,10,0.0,None,8000,2000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-748771.1709,-1540.11118,-191423.6339,-132583.5321,58840.10175,57299.99057,-164264.9628,162724.8516,-1540.11118,0.0,57299.99057
44,CAISO,System,10,0.12,Low flat,8000,2000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-749267.6036,-2036.543855,-191423.6339,-131716.3845,59707.24938,57670.70552999999,-164666.3856,162629.8418,-2036.543855,631.1700977,58301.875620000006
45,CAISO,System,10,0.15,Med flat,8000,2000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-859617.2868,-112386.2271,-191423.6339,-127059.1059,64364.528,-48021.69908,-257380.0615,144993.8344,-112386.2271,126710.491,78688.79191
46,CAISO,System,10,0.18,High flat,8000,2000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-881736.954,-134505.8942,-191423.6339,-125997.6748,65425.95907999999,-69079.93515,-265949.9796,131444.0854,-134505.8942,173653.5565,104573.6214
47,CAISO,System,10,0.10531,Retail,8000,2000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-819556.5983,-72325.53854,-191423.6339,-131768.7018,59654.93212000001,-12670.60642,-210728.7564,138403.2179,-72325.53854,77957.27294,65286.666520000006
48,CAISO,System,10,0.084248,80% retail,8000,2000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-750082.891,-2851.831252,-191423.6339,-131292.7586,60130.87527,57279.04402,-163518.8309,160666.9997,-2851.831252,537.4566113,57816.50063
49,CAISO,System,10,0.126372,120% retail,8000,2000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-843765.3991,-96534.33931,-191423.6339,-132204.6526,59218.9813,-37315.35801,-217795.3028,121260.9635,-96534.33931,121135.7857,83820.42773
50,CAISO,System,10,0.032141,LMPs,8000,2000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-750116.5953,-2885.535508,-191423.6339,-132254.2285,59169.40539,56283.86988,-164964.6213,162079.0858,-2885.535508,2836.616696,59120.48657000001
51,CAISO,System,10,0.0160705,50% LMPs,8000,2000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-749786.9369,-2555.877121,-191423.6339,-132522.4677,58901.16621,56345.28909,-163724.7056,161168.8285,-2555.877121,1069.678826,57414.96791
52,CAISO,System,10,0.0482115,150% LMPs,8000,2000.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-754988.6718,-7757.612043000001,-191423.6339,-132649.2489,58774.385,51016.77295,-167070.8424,159313.2303,-7757.612043000001,10158.55948,61175.33243
53,CAISO,System,10,0.0,None,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-743954.9637,3276.096093,-191423.6339,-158414.3961,33009.23783,36285.33392,-76557.10847,79833.20456,3276.096093,0.0,36285.33392
54,CAISO,System,10,0.12,Low flat,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744027.9622,3203.097573,-191423.6339,-158414.3961,33009.23783,36212.3354,-76557.10847,79760.20604,3203.097573,83.18129701,36295.5167
55,CAISO,System,10,0.15,Med flat,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-764154.4015,-16923.3417,-191423.6339,-158414.3961,33009.23783,16085.89612,-102253.7134,85330.37172000001,-16923.3417,21519.27259,37605.16872
56,CAISO,System,10,0.18,High flat,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-787639.1351,-40408.07532,-191423.6339,-158414.3961,33009.23783,-7398.837489,-138852.3162,98444.24088,-40408.07532,52930.706,45531.86851
57,CAISO,System,10,0.10531,Retail,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-746415.1126,815.9471815,-191423.6339,-158414.3961,33009.23783,33825.18501,-76826.35293,77642.30011,815.9471815,2532.77603,36357.96104
58,CAISO,System,10,0.084248,80% retail,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744028.5223,3202.537453,-191423.6339,-158414.3961,33009.23783,36211.77528,-76557.10847,79759.64592000001,3202.537453,75.95168827,36287.72697
59,CAISO,System,10,0.126372,120% retail,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-751310.8257,-4079.765987,-191423.6339,-158414.3961,33009.23783,28929.47184,-76826.35293,72746.58694,-4079.765987,8914.187038,37843.65888
60,CAISO,System,10,0.032141,LMPs,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744014.3731,3216.686687,-191423.6339,-158414.3961,33009.23783,36225.92451,-76557.10847,79773.79515,3216.686687,98.14213426,36324.06665
61,CAISO,System,10,0.0160705,50% LMPs,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-743957.7784,3273.281402,-191423.6339,-158414.3961,33009.23783,36282.51923,-76557.10847,79830.38987,3273.281402,3.011883366,36285.53111
62,CAISO,System,10,0.0482115,150% LMPs,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744165.0848,3065.974923,-191423.6339,-158414.3961,33009.23783,36075.21275,-76611.54972000001,79677.52465,3065.974923,311.3503474,36386.5631
63,CAISO,System,30,0.0,None,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-743954.9637,3276.096093,-574270.9017,-475243.1882,99027.71348,102303.8096,-76557.10847,79833.20456,3276.096093,0.0,102303.8096
64,CAISO,System,30,0.12,Low flat,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-744027.9622,3203.097573,-574270.9017,-475243.1882,99027.71348,102230.8111,-76557.10847,79760.20604,3203.097573,83.18129701,102313.9924
65,CAISO,System,30,0.15,Med flat,2000,500.0,0.05,1.0,0.92,0.5,24,12,-747231.0598,-764113.3107,-16882.25091,-574270.9017,-475243.1882,99027.71348,82145.46257,-102220.1695,85337.91859,-16882.25091,21478.12848,103623.5911
